Elle ____ au seconde étage.;est montée;a montée;est monté
Il ____ de cinq kiles.;a maigri;est maigri;a maigrie
Je ____ cette emission.;ai vu;ai vues;suis vu
L'emission que elle ____.;a vue;est vue;a vu
Voilà une photo ____ est très ancienne.;qui;que;qu'
C'est un livre ____ je lire;que;qui;qu'
____ mon ami Pepe, ____ très sympa;C'est, Il est;Il est, C'est;Il est, Il est
____ ma cousine, elle habite ___ États-Unis;C'est, aux;C'est, au;Elle est, aux
Si j' habite ___ Paris, Je suis _____;à, française;au, française;en, français
Formation du passe composer:;Suj + Avoir/être + Participe passé du verbe;Suj + Participe passé du verbe + Avoir/être;Tous sont corrects
Nous utilisons le verbe être avec ___;Les verbes intransitifs;Tout sauf l'intransitif;avec tous
Quel est le nom de ce vêtement? (nº1);Un gilet;Un pull;Un blouson
Quel est le nom de ce vêtement? (nº2);Un maillot de peau;Un maillot de bain;Une chemise de nuit
Quel est le nom de ce vêtement? (nº3);Une robe de chambre;Une salopette;Une chemisier
Ils ___ correctement (négative);n'ont pas répondu;n'ont répondu;ne sont pas répondus
Tu ___ ce film?;as déjà vu;es déjà vu;es déjà vue
Que dirais-tu?: "J'ai soif, ___";J'ai besoin d'un verre d'eau;J'ai besoin d'aller aux toilettes!;Je transpire
Que dirais-tu?: "J'ai les jambes en coton, ___";tous sont corrects;j'ai besoin de dormir;Je dois m'asseoir
pregunta de mentira;esta no vale; que no se olvide; borrarla
